figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in soma?,Is protein present in soma?,Is RNA present in neuropil?,Is protein present in neuropil?,Is figure quality too poor?,General comments
2138620,Low,Low,Evenly distributed,Cytoplasmic,Low,Low,Yes,No,Yes,Yes,No,Yes,No,
2138720,None,Moderate,,Cytoplasmic,None,None,Yes,No,No,Yes,No,No,No,
2138835,Moderate,High,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,No,No,
2138589,High,Moderate,Evenly distributed,Cytoplasmic,Moderate,High,No,No,Yes,Yes,No,Yes,No,
2137934,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138743,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138049,Moderate,High,More in some cells than others,Cytoplasmic,High,Moderate,No,No,Yes,Yes,No,Yes,No,RNA is not present in all soma cells.
2137912,Moderate,Low,More in some cells than others,"Punctate	Diffuse",High,Moderate,Yes,No,Yes,No,Yes,Yes,No,
2138913,Low,None,Evenly distributed,,Low,Low,Yes,No,Yes,No,No,No,No,
2137800,Moderate,Moderate,Cell type specific,"Cell edges	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,No,No,No,
2138126,None,Moderate,,Cytoplasmic,None,None,Yes,No,N/A,Yes,N/A,Yes,No,
2138777,Moderate,Low,More in some cells than others,Cytoplasmic,High,Moderate,No,No,Yes,Yes,No,No,No,
2138026,Moderate,Moderate,Cell type specific,"Cell edges	Large aggregations",Moderate,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2137776,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138495,Moderate,High,Evenly distributed,"Nuclear	Cytoplasmic",High,Moderate,No,No,Yes,Yes,No,No,No,
2138946,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2138825,Low,Low,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,No,Yes,No,
2138630,High,Moderate,Evenly distributed,"Cytoplasmic	Other",High,High,No,Yes,Yes,Yes,No,No,No,I used other in protein expression because: there is protein expression in some cells but not others
2138487,Low,High,Evenly distributed,"Punctate	Nuclear",Low,Low,Yes,No,Yes,Yes,No,No,No,
2138858,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,No,No,
2138262,High,Moderate,Evenly distributed,"Punctate	Cytoplasmic",Moderate,High,No,Yes,Yes,Yes,Yes,Yes,No,I flagged it to be used as there iis nice and much RNA expression
2138362,None,Low,,Cytoplasmic,None,None,Yes,No,No,Yes,No,Yes,No,
2138688,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138788,Moderate,Low,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,No,No,Yes,No,
2137982,Moderate,Moderate,More in some cells than others,Cell edges,Moderate,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2138442,Low,Low,More in some cells than others,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,No,Yes,No,
2138696,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138883,High,High,Evenly distributed,"Punctate	Cytoplasmic",Moderate,High,No,No,Yes,Yes,No,Yes,No,
2137789,High,Moderate,Evenly distributed,Cytoplasmic,Low,High,Yes,No,Yes,Yes,No,Yes,No,
2138346,Low,High,More in some cells than others,"Large aggregations	Cytoplasmic",Moderate,Low,Yes,No,Yes,Yes,No,Yes,No,
2138354,None,Moderate,,Cytoplasmic,None,None,Yes,No,No,Yes,No,Yes,No,
2138405,High,Low,Evenly distributed,Cytoplasmic,High,High,Yes,No,Yes,No,No,Yes,No,
2138229,Moderate,Moderate,More in some cells than others,Cytoplasmic,High,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2138757,Low,Moderate,More in some cells than others,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,No,Yes,No,
2138657,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138749,Low,Low,Evenly distributed,Cell type specific,Moderate,Low,No,No,Yes,No,No,Yes,No,
2137756,Low,High,"Single transcripts	More in some cells than others",Cytoplasmic,Moderate,Low,Yes,No,Yes,Yes,Yes,Yes,No,Stability in optic lobe anlagen cluster 
2138634,Moderate,Moderate,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,Yes,No,
2138850,Low,Low,Single transcripts,Cytoplasmic,Low,Low,Yes,No,No,Yes,No,Yes,No,
2138833,High,Moderate,Evenly distributed,Cytoplasmic,Moderate,High,No,No,Yes,Yes,No,No,No,
2137951,High,Moderate,More in some cells than others,Diffuse,High,High,No,No,Yes,Yes,Yes,Yes,No,There is some RNA present in the neuropil.
2138866,High,High,Evenly distributed,"Punctate	Cytoplasmic",High,High,Yes,No,Yes,Yes,No,Yes,No,
2138773,Moderate,None,More in some cells than others,,Moderate,Moderate,Yes,No,Yes,No,No,No,No,
2137967,Low,Low,More in some cells than others,Diffuse,Low,Low,Yes,No,Yes,No,Yes,Yes,No,some RNA present in the neuropil
2138702,Low,Moderate,More in some cells than others,"Diffuse	Large aggregations",Moderate,Low,Yes,No,Yes,Yes,No,Yes,No,Protein is present in some cell somata but not other whereas RNA is more evenly distributed.
2138053,Moderate,High,Evenly distributed,"Punctate	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,
2138562,Low,Moderate,Evenly distributed,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,Yes,No,
2138321,Moderate,High,More in some cells than others,"Large aggregations	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2138570,Low,None,Evenly distributed,,Low,Low,Yes,No,Yes,No,No,No,No,
2138899,Low,High,Single transcripts,Cytoplasmic,Moderate,Low,Yes,No,No,Yes,No,Yes,No,
2137898,Low,Low,More in some cells than others,Diffuse,Moderate,Low,Yes,No,No,Yes,No,Yes,No,
2137998,None,Low,,Other,None,None,Yes,No,N/A,Yes,N/A,No,No,
2137894,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138472,High,High,Evenly distributed,"Nuclear	Cytoplasmic",Moderate,High,No,Yes,Yes,Yes,No,Yes,No,
2138352,Low,Low,Evenly distributed,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,Yes,No,
2138448,Low,None,More in some cells than others,,Low,Low,No,No,Yes,No,No,No,No,
2138897,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138456,Low,Moderate,Evenly distributed,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,Yes,No,
2137791,Low,Low,Single transcripts,Cytoplasmic,Low,Low,Yes,No,No,Yes,No,Yes,No,
2138539,Moderate,Moderate,Evenly distributed,"Punctate	Nuclear	Cytoplasmic",High,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2138593,Moderate,Low,Evenly distributed,"Punctate	Cytoplasmic",High,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2138636,Moderate,High,Evenly distributed,"Large aggregations	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,
2138755,Low,Low,More in some cells than others,"Large aggregations	Cytoplasmic",High,Low,No,No,No,No,Yes,Yes,No,
2137877,Low,Low,More in some cells than others,Diffuse,Low,Moderate,No,No,Yes,Yes,No,Yes,No,
2138032,Moderate,Low,More in some cells than others,"Large aggregations	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,Yes,No,No,No,
2138132,High,High,Evenly distributed,"Large aggregations	Cytoplasmic",Moderate,High,Yes,No,Yes,Yes,No,Yes,No,Protein is present in some soma not all of them and is very concentrated at a specific part of the image.
2138612,Moderate,High,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,
2137770,Low,None,Single transcripts,,None,Low,Yes,No,Yes,No,No,No,No,v.low RNA no protein - low translation?
2137906,Moderate,High,More in some cells than others,"Punctate	Diffuse",Moderate,Moderate,No,No,Yes,Yes,No,No,No,
2138650,None,Low,,Cytoplasmic,None,None,Yes,No,No,Yes,No,Yes,No,
2138584,Low,Low,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,No,No,No,
2138642,Low,High,Evenly distributed,"Cytoplasmic	Cell type specific",Low,Low,Yes,No,Yes,Yes,No,Yes,No,
2138721,High,High,Evenly distributed,Cytoplasmic,Low,High,No,No,Yes,Yes,No,Yes,No,
2138834,Moderate,High,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,No,No,
2138774,Moderate,Moderate,More in some cells than others,"Cytoplasmic	Other",Moderate,Moderate,No,No,Yes,Yes,No,No,No,There is more protein expression in some cells but not all of them.
2138058,Low,Low,More in some cells than others,Cytoplasmic,High,Low,Yes,No,Yes,Yes,No,Yes,No,
2138666,Moderate,Moderate,More in some cells than others,"Large aggregations	Cytoplasmic",Low,Moderate,No,No,Yes,Yes,No,Yes,No,
2138565,High,High,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,No,No,No,
2138349,Low,High,Evenly distributed,Cytoplasmic,Low,Low,Yes,No,No,Yes,No,Yes,No,
2138357,High,High,Evenly distributed,"Large aggregations	Cytoplasmic",High,High,No,No,Yes,Yes,No,Yes,No,
2138257,Moderate,Moderate,More in some cells than others,"Large aggregations	Cytoplasmic",High,Moderate,No,Yes,Yes,Yes,No,Yes,No,
2138577,None,Low,,Cytoplasmic,None,None,Yes,No,No,Yes,No,Yes,No,
2138477,Low,None,Evenly distributed,,High,Low,Yes,No,Yes,No,No,No,No,
2138414,Moderate,High,More in some cells than others,Cytoplasmic,High,Moderate,No,No,Yes,Yes,Yes,Yes,No,
2138880,Moderate,Moderate,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,Yes,No,
2138553,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,
2138699,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2137798,High,High,Evenly distributed,Diffuse,Moderate,High,No,No,Yes,Yes,No,No,No,
2138687,Low,Moderate,Evenly distributed,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,No,No,No,
2138430,Low,High,Cell type specific,"Large aggregations	Cytoplasmic",Low,Low,Yes,No,Yes,Yes,No,Yes,No,
2138530,High,Low,More in some cells than others,Cytoplasmic,High,High,No,No,Yes,Yes,No,Yes,No,
2138575,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138324,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138359,Moderate,Moderate,Evenly distributed,"Large aggregations	Cytoplasmic",Moderate,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2138355,Low,High,Evenly distributed,"Punctate	Large aggregations	Cytoplasmic",High,Low,Yes,No,Yes,Yes,No,Yes,No,
2138467,Low,Low,More in some cells than others,"Punctate	Cytoplasmic",Low,Low,Yes,No,Yes,No,No,Yes,No,
2137991,High,High,Evenly distributed,"Punctate	Cytoplasmic",Moderate,High,No,No,Yes,Yes,Yes,Yes,No,
2137784,Moderate,Moderate,More in some cells than others,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,No,
2138520,Moderate,Low,Evenly distributed,"Cytoplasmic	Other",High,Moderate,No,No,Yes,Yes,No,No,No,
2138882,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138312,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138789,High,High,Evenly distributed,Cytoplasmic,High,High,No,No,No,Yes,Yes,No,Yes,
2138723,Moderate,None,Evenly distributed,,Moderate,Moderate,Yes,No,Yes,No,No,No,No,
2138172,Low,Low,More in some cells than others,Cytoplasmic,Low,Low,Yes,No,No,Yes,No,Yes,No,
2138824,Moderate,Low,Evenly distributed,"Punctate	Cytoplasmic",Low,Moderate,No,No,Yes,No,No,Yes,No,
2138160,Low,Low,More in some cells than others,Large aggregations,Moderate,Low,Yes,No,No,No,No,Yes,No,
2137925,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138598,High,Moderate,Evenly distributed,"Large aggregations	Cytoplasmic",High,High,No,No,Yes,Yes,No,Yes,No,
2138156,Low,High,More in some cells than others,Large aggregations,Moderate,Low,Yes,No,Yes,Yes,Yes,Yes,No,
2138812,Low,Low,Single transcripts,Diffuse,Low,Low,Yes,No,No,Yes,No,No,No,
2138912,Moderate,Moderate,Evenly distributed,"Punctate	Cytoplasmic",Low,Low,No,No,Yes,Yes,No,Yes,No,
2138764,Moderate,Low,More in some cells than others,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,No,No,No,No,
2138768,High,High,Evenly distributed,Cytoplasmic,Low,High,No,No,Yes,Yes,No,Yes,No,
2138039,High,High,Evenly distributed,"Cell edges	Large aggregations",Moderate,High,Yes,No,Yes,Yes,Yes,Yes,No,Protein is **sometimes** present in soma
2138044,High,Moderate,Evenly distributed,Cytoplasmic,High,High,Yes,No,Yes,Yes,No,Yes,No,
2138027,Low,None,More in some cells than others,,High,Low,Yes,No,Yes,No,No,No,No,
2138127,Low,Moderate,Single transcripts,Cytoplasmic,High,Low,Yes,No,Yes,Yes,Yes,Yes,No,I marked it with discordance (whole image) because although there is some RNA expression is very little compared with the protein expression
2138793,Low,None,Evenly distributed,,Moderate,Low,Yes,No,Yes,No,No,No,No,
2138898,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138436,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138267,High,High,Evenly distributed,Cytoplasmic,High,High,No,Yes,Yes,Yes,No,No,No,
2138500,Low,High,More in some cells than others,"Punctate	Cytoplasmic",Low,Low,No,No,Yes,Yes,No,Yes,No,
2138332,High,High,Evenly distributed,Cytoplasmic,High,High,Yes,No,Yes,Yes,No,Yes,No,
2138243,High,High,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,No,No,No,
2137773,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2137905,Moderate,High,Evenly distributed,Diffuse,Low,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2137805,Moderate,High,Evenly distributed,"Punctate	Nuclear",Moderate,Moderate,No,No,Yes,Yes,No,No,No,
2138867,Moderate,High,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,Yes,No,
2138703,Moderate,High,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,No,No,
2138816,Low,Low,Evenly distributed,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,Yes,No,
2138398,Low,None,More in some cells than others,,Low,Low,Yes,No,Yes,No,No,No,No,
2137817,High,High,Evenly distributed,Cell edges,High,High,No,No,Yes,Yes,Yes,Yes,No,
2138920,Low,None,Single transcripts,,Moderate,Low,No,No,Yes,No,No,No,No,Rna is present in a very few soma cells
2138482,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2137757,Low,Low,"Single transcripts	More in some cells than others","Cytoplasmic	Other",Low,Low,Yes,No,Yes,No,No,Yes,No,"More protein in neuropils.
Protein transport to neurite. "
2138932,None,Low,,Cytoplasmic,None,None,No,No,No,Yes,No,Yes,No,
2138490,Moderate,Moderate,Evenly distributed,"Punctate	Cytoplasmic",Moderate,Moderate,No,Yes,Yes,Yes,No,Yes,No,
2138068,High,High,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,No,Yes,No,
2138168,Moderate,High,More in some cells than others,Cytoplasmic,High,Moderate,Yes,No,Yes,Yes,No,Yes,No,There is discordance as RNA is present in some soma and not others.
2138851,None,Low,,Cytoplasmic,None,None,No,No,No,No,No,No,No,
2138914,High,High,Evenly distributed,Punctate,Moderate,High,No,Yes,Yes,Yes,Yes,Yes,No,
2138918,Moderate,High,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,No,No,
2138021,High,Moderate,Evenly distributed,"Punctate	Cytoplasmic",Moderate,High,No,No,Yes,Yes,Yes,Yes,No,RNA present in neuropoil I think.
2137807,Moderate,Moderate,More in some cells than others,"Cell edges	Cytoplasmic",High,Moderate,No,No,Yes,Yes,No,Yes,No,
2138865,High,High,More in some cells than others,Cytoplasmic,Moderate,High,No,No,Yes,Yes,No,Yes,No,
2138906,Low,None,Single transcripts,,Low,Low,Yes,No,Yes,No,No,No,No,"There is some very low RNA expression but no protein expression, so I said there is discordance."
2138613,Low,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Low,Low,Yes,No,Yes,Yes,No,Yes,No,
2138646,Moderate,Moderate,Evenly distributed,"Punctate	Cytoplasmic",High,Moderate,No,No,Yes,Yes,No,Yes,No,
2138117,High,Moderate,Evenly distributed,Cytoplasmic,Moderate,High,No,No,Yes,Yes,Yes,Yes,No,
2138725,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,No,No,Yes,No,
2138074,High,High,Evenly distributed,"Cell edges	Diffuse",High,High,Yes,Yes,Yes,Yes,No,Yes,No,
2138930,Low,Moderate,More in some cells than others,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,No,No,No,
2138109,High,None,Evenly distributed,,High,High,Yes,No,Yes,No,Yes,No,No,
2138178,High,High,Evenly distributed,Cytoplasmic,Moderate,High,No,No,Yes,Yes,Yes,Yes,No,
2138729,Moderate,Moderate,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,Yes,No,
2138941,None,Low,,"Large aggregations	Cytoplasmic",None,None,Yes,No,No,Yes,No,Yes,No,
2138654,Low,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Low,Low,No,No,Yes,Yes,No,Yes,No,
2138637,Moderate,Moderate,Evenly distributed,"Punctate	Cytoplasmic",High,Moderate,No,No,Yes,Yes,No,Yes,No,
2138822,Moderate,High,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,No,No,
2138557,None,Low,,Punctate,None,None,Yes,No,No,Yes,No,No,No,
2138534,Low,None,More in some cells than others,,Low,Low,Yes,No,Yes,No,No,No,No,
2138549,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,
2138791,High,High,Evenly distributed,Cytoplasmic,Low,High,No,No,Yes,Yes,No,No,No,
2138377,Low,None,Evenly distributed,,Low,Low,Yes,No,Yes,No,No,No,No,
2138691,Low,Low,Evenly distributed,Cytoplasmic,Low,Low,No,No,Yes,Yes,No,Yes,No,
2138510,High,Moderate,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,No,No,No,
2138410,High,Moderate,Evenly distributed,"Punctate	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,Yes,No,
2138461,Moderate,Moderate,Evenly distributed,Cytoplasmic,High,Moderate,No,No,Yes,Yes,Yes,Yes,No,
2138253,High,High,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,Yes,Yes,No,
2139878,High,High,Evenly distributed,Cytoplasmic,Moderate,High,No,Yes,Yes,Yes,Yes,No,No,
2139978,High,High,Evenly distributed,Diffuse,High,High,No,No,Yes,Yes,No,Yes,No,
2140577,Moderate,Moderate,More in some cells than others,"Cell edges	Diffuse",High,Moderate,No,No,Yes,Yes,No,Yes,No,
2140676,High,High,Evenly distributed,"Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,Yes,No,
2140681,None,None,,,None,None,No,No,No,No,No,No,No,"No expression
"
2139886,High,High,Evenly distributed,"Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,Yes,No,
2140576,Moderate,Moderate,Evenly distributed,Diffuse,Low,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Not good quality
2139898,High,High,Evenly distributed,"Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,Yes,No,
2140585,Moderate,Moderate,Evenly distributed,Diffuse,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,No,
2140675,Low,None,Evenly distributed,,Low,Low,No,No,Yes,No,Yes,No,No,
2141755,None,None,,,None,None,No,No,No,No,No,No,No,no expression
2139973,Moderate,Moderate,Evenly distributed,"Punctate	Diffuse",Moderate,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2139961,High,Low,More in some cells than others,Cytoplasmic,Moderate,High,Yes,No,Yes,No,Yes,No,No,
2140682,High,High,Evenly distributed,"Punctate	Cytoplasmic",High,High,No,No,Yes,Yes,No,Yes,No,
2139882,High,None,Evenly distributed,,High,High,Yes,No,Yes,No,Yes,No,No,No protein expression at all
