figure_id,What is the level of RNA expression?,What is the level of protein expression?,What patterns does the RNA make?,What patterns does the protein make?,Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in axon terminal?,Is protein present in axon terminal?,Is RNA present in muscle?,Is protein present in muscle?,Is RNA present in post synaptic density?,Is protein present in post synaptic density?,Is RNA present in neuron?,Is protein present in neuron?,Is RNA distribution cell-type specific?,Is protein distribution cell-type specific?,Is figure quality too poor?,General comments
2137865,Low,Low,Single transcripts,Punctate,Moderate,None,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,HRP is very faint
2137866,None,None,,,None,None,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Lots of background. Very hard to interperet. 
2137867,High,Low,Evenly scattered,"Punctate	Cytoskeleton (muscle fibres)",Low,High,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137868,Low,Moderate,"Single transcripts	Nuclear","Punctate	Cytoskeleton (muscle fibres)",High,Low,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,
2137870,Low,High,Nuclear,"Punctate	Diffuse",Low,None,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,"High background in RNA. Image needs to be flipped vertically or the labels moved. Very high protein at top end of image. Another tissue? If it's not relevant should be cut out of figure. 
"
2137871,Low,High,Nuclear,"Punctate	Diffuse",Low,None,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,"Image needs to be rotated or labels moved as they can't be seen, background in RNA channel is horrendous"
2137876,Moderate,Moderate,Evenly scattered,Punctate,Moderate,Moderate,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,
2137878,High,High,Evenly scattered,Cell edges,High,High,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,
2137880,Low,Moderate,Nuclear,Punctate,Low,None,No,No,No,No,No,No,No,No,No,Yes,No,neuron,No,"Background in RNA channel is high, don't think it's real signal. Also large aggregation near synapse, not sure it's real. "
2137881,Low,Moderate,Single transcripts,"Punctate	Cytoskeleton (muscle fibres)",None,Low,No,No,No,No,No,Yes,No,No,No,No,muscle,muscle,No,
2137882,Moderate,Moderate,"Evenly scattered	Single transcripts",Punctate,None,Moderate,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,
2137883,Moderate,Moderate,Single transcripts,Cytoskeleton (muscle fibres),High,Moderate,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,
2137884,Moderate,Low,Evenly scattered,Cytoskeleton (muscle fibres),None,Moderate,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137885,Moderate,Moderate,Evenly scattered,Nuclear,Moderate,Moderate,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,
2137886,Moderate,Moderate,Single transcripts,Punctate,Moderate,Low,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,"Clusters of protein around the boutons and very high number of transcripts in the nuclei. Interesting
"
2137887,Low,Low,Single transcripts,Cytoskeleton (muscle fibres),None,Low,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,"Could do with some contrasting tweaks
"
2137888,High,High,Evenly scattered,Cytoskeleton (muscle fibres),High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
2137892,Low,Moderate,Single transcripts,Cytoskeleton (muscle fibres),High,Low,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,This is not a great image. Worth looking at again? 
2137893,None,Low,,"Diffuse	Cytoskeleton (muscle fibres)",None,None,Yes,No,No,No,No,Yes,No,No,No,No,No,muscle,Yes,Artefact in between the two muscle segments in the RNA channel? There's no signal so should be recontrasted?
2137908,Moderate,High,Evenly scattered,Punctate,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
2137913,None,Moderate,None,Cell edges,None,None,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,
2137914,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Doesn't seem to be expressed. It's overcontrasted in the RNA channel and should be adjusted. 
2137916,Moderate,Low,"Single transcripts	Nuclear",Cytoskeleton (muscle fibres),High,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,
2137917,Moderate,Moderate,Evenly scattered,"Nuclear	Diffuse	Cytoskeleton (muscle fibres)",Moderate,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137918,High,High,Evenly scattered,Cell edges,None,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,neuron,No,
2137919,Low,Moderate,Single transcripts,Nuclear,Moderate,Low,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,"Needs to be recontrasted. RNA channel looks like there's RNA everywhere, including at the axon termini"
2137921,High,Moderate,Evenly scattered,Cell edges,High,High,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,post synaptic density,No,
2137926,Low,Moderate,"Single transcripts	Nuclear",Cell edges,Low,None,Yes,No,No,No,No,No,No,Yes,No,No,No,neuron,No,
2137927,Low,Moderate,Single transcripts,Cell edges,None,Low,Yes,No,No,No,Yes,No,No,Yes,No,No,No,post synaptic density,Yes,"Channels are mislabelled, green channel isn't on? Scored off Omero. "
2137935,None,None,,,None,None,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Not sure this can be scored reliably
2137936,Low,Moderate,Nuclear,"Punctate	Diffuse",High,None,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,
2137938,High,High,Evenly scattered,Diffuse,High,High,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,HRP didn't work?
2137939,Low,Low,Single transcripts,Punctate,Low,Low,No,No,No,No,Yes,Yes,No,No,No,No,No,muscle,No,Very large signal in RNA channel at bottom of image near bouton. If it 's not real it will need a note or to be removed. 
2137942,High,Moderate,Evenly scattered,Cytoskeleton (muscle fibres),Moderate,High,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137943,Moderate,Low,Single transcripts,Punctate,High,Moderate,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,
2137947,Moderate,High,"Single transcripts	Nuclear",Cytoskeleton (muscle fibres),High,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,"No dlg, hard to score PSD. DAPI was imaged but not selected for the figure so that should be changed"
2137953,High,Low,"Evenly scattered	Nuclear",Nuclear,High,Moderate,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,muscle,No,No dlg1 so hard to image PSD. RNA channel needs to be recontrasted
2137954,High,Low,Cell type specific,Punctate,Low,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Neuron PACKED with RNA. 
2137955,High,Moderate,Evenly scattered,Other,Moderate,High,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,muscle,No,No,
2137956,Low,Low,Single transcripts,Nuclear,Moderate,Low,Yes,No,No,No,Yes,No,Yes,No,No,No,No,muscle,No,
2137957,Low,High,Single transcripts,Cell edges,None,Low,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Could do with recontrasting
2137958,Low,Moderate,Single transcripts,Cytoskeleton (muscle fibres),Low,Low,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,
2137959,High,High,Evenly scattered,Cytoskeleton (muscle fibres),Low,High,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,muscle,Yes,2 RNA transcripts in lower left bouton are actually outside the synapse. Might need to cut stack to show this. Also needs recontrasting. 
2137960,Low,Low,Nuclear,Punctate,Moderate,None,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
2137961,Low,Low,Nuclear,Nuclear,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,
2137962,Low,Moderate,Single transcripts,"Punctate	Cytoskeleton (muscle fibres)",None,Low,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Would benefit from recontrasting
2137963,Moderate,Low,Evenly scattered,"Cell edges	Diffuse",High,Moderate,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"I think there is RNA in the axon termini here without protein. z slice 17, smaller of the two boutons on the right handside. Figure could benefit from recontrasting"
2137965,High,High,Evenly scattered,"Punctate	Diffuse",None,High,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
2137970,High,High,Evenly scattered,"Diffuse	Cytoskeleton (muscle fibres)",None,High,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,muscle,No,"RNA in bouton at top of image in around  z-slice 19. No dlg, HRP hard to see in figure."
2137971,Moderate,Moderate,Evenly scattered,Punctate,Low,Moderate,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Not very clear figure. Could do with recontrasting
2137972,Low,Low,Single transcripts,Diffuse,None,Low,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,RNA in axon termini at around z-slice 4 in the bouton near the centre of the image. Contrasting of DAPI could be better
2137973,High,Moderate,Evenly scattered,"Punctate	Nuclear",Moderate,High,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No DLG so hard to assess PSD
2137974,High,Moderate,Evenly scattered,"Cell edges	Diffuse",Moderate,High,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
2137976,Moderate,Low,Single transcripts,Nuclear,High,Low,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,RNA in axon terminal around z-slice 11 
2137978,Low,Moderate,Single transcripts,Cytoskeleton (muscle fibres),Low,Low,No,No,No,No,Yes,Yes,No,No,No,No,muscle,muscle,Yes,Needs recontrasting. 
2137981,Moderate,Low,Evenly scattered,Diffuse,Moderate,Low,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,"Gene name is BNIP, should the title on the figure change from the CG number? Should we cut out the really bright protein expression at the bottom?
"
2137983,Moderate,Moderate,Evenly scattered,"Punctate	Nuclear",Moderate,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,RNA in axon terminal around slice 22
2138009,Low,Low,Nuclear,Punctate,Low,None,No,No,No,No,No,Yes,No,No,No,No,muscle,muscle,No,
2138060,Low,Moderate,Single transcripts,Nuclear,None,Low,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,
2138061,Moderate,Moderate,Single transcripts,"Diffuse	Other",High,Low,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Figure is a bit of a mess TBH
2138070,High,High,Evenly scattered,Punctate,High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
2138072,High,High,Evenly scattered,Cytoskeleton (muscle fibres),None,High,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,"RNA in axon terminal, bouton furthest left around z-slice 24"
2138073,Low,High,Single transcripts,Cytoskeleton (muscle fibres),Moderate,Low,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,
2138077,None,Low,,Punctate,None,None,Yes,No,No,No,No,Yes,No,No,No,No,No,muscle,No,
2138078,Moderate,Low,"Single transcripts	Nuclear",Nuclear,None,Low,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,
2138081,High,Moderate,"Evenly scattered	Nuclear",Cell edges,Moderate,High,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,post synaptic density,No,
2138082,Low,High,Single transcripts,"Punctate	Diffuse	Cytoskeleton (muscle fibres)",High,Low,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,
2138083,Low,Moderate,Nuclear,"Punctate	Cytoskeleton (muscle fibres)",Low,None,Yes,No,No,No,No,Yes,No,No,No,No,No,muscle,No,
2138085,Low,Moderate,Nuclear,"Punctate	Cell edges",Moderate,None,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,
2138088,None,None,None,,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed at all
2138090,High,High,"Evenly scattered	Nuclear	Perinuclear (muscle)",Cytoskeleton (muscle fibres),Moderate,High,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,"Large thing in RNA channel, can we pick different z range to get rid?
"
2138092,High,Moderate,"Evenly scattered	Nuclear","Cell edges	Cytoskeleton (muscle fibres)",Moderate,High,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,
2138094,High,Moderate,"Evenly scattered	Nuclear	Perinuclear (muscle)",Nuclear,Moderate,High,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,
2138096,Moderate,Moderate,Nuclear,"Cell edges	Diffuse",High,None,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,
2138097,Moderate,Moderate,"Evenly scattered	Nuclear	Perinuclear (muscle)",Nuclear,Moderate,Moderate,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,
2138098,High,Moderate,"Evenly scattered	Nuclear","Punctate	Diffuse",High,High,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Dlg label on merge but it's not there. 
2138099,High,Moderate,"Evenly scattered	Nuclear	Perinuclear (muscle)","Punctate	Nuclear",Moderate,High,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,HRP is so bright you can't see the DAPI. Should we outline the nuclei in some way? 
2138100,High,Low,Other,Punctate,None,None,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Very large RNA accumulation in the neuron. 
2138101,Moderate,Moderate,Evenly scattered,Nuclear,Low,Moderate,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,
2138102,Low,Low,Single transcripts,"Diffuse	Cytoskeleton (muscle fibres)",Moderate,Low,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,
2138104,Low,Low,Single transcripts,Punctate,None,Low,No,No,No,No,No,Yes,Yes,Yes,No,Yes,neuron,No,Yes,No dlg and it doesn't look great. Borderline if this is acceptable. One very bright dot in RNA channel. Spurious?
2138106,Low,Low,Single transcripts,"Punctate	Cytoskeleton (muscle fibres)",Low,Low,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,
2138110,Moderate,High,Single transcripts,Cytoskeleton (muscle fibres),Moderate,Moderate,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,
2138111,Low,Moderate,Nuclear,"Cell edges	Diffuse	Cytoskeleton (muscle fibres)",Moderate,None,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,
2138112,Moderate,Low,"Evenly scattered	Nuclear	Perinuclear (muscle)",Punctate,Low,Moderate,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2138113,Moderate,Moderate,"Evenly scattered	Nuclear	Perinuclear (muscle)","Cell edges	Diffuse",High,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,
2138114,Low,Moderate,"Single transcripts	Perinuclear (muscle)",Punctate,None,Low,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,
2138115,Moderate,Moderate,"Evenly scattered	Nuclear	Perinuclear (muscle)",Diffuse,High,Moderate,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Could be better contrasted?
2138116,High,Moderate,"Evenly scattered	Perinuclear (muscle)",Diffuse,None,High,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,RNA in axon terminal z slice 3 & 4
2138118,Low,Moderate,"Single transcripts	Nuclear	Perinuclear (muscle)",Nuclear,Low,Low,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Large accumulation/spot in the RNA channel. Is it real?
2138122,High,Moderate,Evenly scattered,Punctate,Low,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
2138131,Low,Low,"Single transcripts	Nuclear","Nuclear	Other",None,Low,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Very large RNA accumulation or is that not real? 
2138142,Moderate,Low,Evenly scattered,"Punctate	Cytoskeleton (muscle fibres)",None,Moderate,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"Very hard to interpret from the projection, could do with contrast adjustments"
2138143,Moderate,Low,"Single transcripts	Nuclear	Perinuclear (muscle)",Punctate,Low,Moderate,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,
2138144,Low,None,Nuclear,None,Low,None,No,No,No,No,No,No,No,No,No,No,No,No,No,Not a great image. Probably very low signal?
2138145,Moderate,Moderate,"Evenly scattered	Nuclear	Perinuclear (muscle)",Diffuse,High,Moderate,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,DAPI can't be seen
2138146,Low,Low,"Single transcripts	Nuclear	Perinuclear (muscle)",Punctate,None,None,No,No,No,No,Yes,Yes,No,No,No,No,No,muscle,No,
2138154,Moderate,Moderate,"Single transcripts	Nuclear	Perinuclear (muscle)","Punctate	Diffuse",High,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,muscle,No,RNA in axon terminal around z slice 12
2138155,High,Moderate,"Evenly scattered	Nuclear	Perinuclear (muscle)",Other,Moderate,High,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,"Large protein expression top right, better to choose different z so it's not in picture? "
2138163,Low,High,Single transcripts,"Punctate	Cell edges	Other",None,None,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,muscle,neuron,No,Could do with recontrasting to cut out lower blue signal
2138164,Moderate,Moderate,"Evenly scattered	Nuclear	Perinuclear (muscle)","Nuclear	Cytoskeleton (muscle fibres)",Moderate,Moderate,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2138169,Moderate,High,"Single transcripts	Perinuclear (muscle)","Cell edges	Diffuse",None,Moderate,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,
2138175,High,High,"Evenly scattered	Nuclear	Perinuclear (muscle)","Cell edges	Cytoskeleton (muscle fibres)",Low,High,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
2138185,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,Not expressed?
2138191,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Expressed?
2138196,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,Not expressed?
2138198,Low,High,Nuclear,"Diffuse	Cytoskeleton (muscle fibres)",Low,None,Yes,No,No,No,No,Yes,No,No,No,No,No,muscle,Yes,"Needs recontrasting, green is overdone dlg didn't work? "
2138200,High,Moderate,"Evenly scattered	Nuclear	Perinuclear (muscle)","Punctate	Diffuse",None,High,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,"Large white blob in RNA signal, remove it? RNA in axon terminal in z slice 9"
2138201,High,Moderate,"Evenly scattered	Perinuclear (muscle)",Diffuse,None,High,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,
2138202,Moderate,High,"Evenly scattered	Nuclear	Perinuclear (muscle)","Punctate	Nuclear	Diffuse	Cytoskeleton (muscle fibres)",High,Moderate,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Large aggregation in RNA channel. Real?
2138203,Moderate,Low,"Evenly scattered	Perinuclear (muscle)",Punctate,None,Moderate,No,No,No,No,Yes,Yes,No,No,Yes,No,No,muscle,No,
2138204,Moderate,Low,"Single transcripts	Nuclear	Perinuclear (muscle)",Cytoskeleton (muscle fibres),Low,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RNA in axon terminal top right bouton z slice 17
2138205,Moderate,High,Evenly scattered,"Diffuse	Cytoskeleton (muscle fibres)",Low,Moderate,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,muscle,No,
2138206,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,Not expressed? Not sure I believe the RNA signal is real
