figure_id,What is the level of RNA expression?,What is the level of protein expression?,What patterns does the RNA make?,What patterns does the protein make?,Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in axon terminal?,Is protein present in axon terminal?,Is RNA present in muscle?,Is protein present in muscle?,Is RNA present in post synaptic density?,Is protein present in post synaptic density?,Is RNA present in neuron?,Is protein present in neuron?,Is RNA distribution cell-type specific?,Is protein distribution cell-type specific?,Is figure quality too poor?,General comments
2137947,Moderate,Moderate,"Single transcripts	Nuclear",Diffuse,Low,Moderate,No,No,Yes,No,Yes,Yes,N/A,No,N/A,No,No,No,Yes,No dlg staining.
2137847,Low,Low,Nuclear,Diffuse,Low,None,No,No,No,No,No,No,No,No,No,No,No,No,No,RNA only in the nuclei.
2138061,High,Moderate,"Single transcripts	Nuclear",Cell edges,High,Low,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,neuron,No,
2137882,Moderate,Moderate,Evenly scattered,Punctate,None,Moderate,No,No,Yes,No,Yes,Yes,No,No,Yes,No,muscle,muscle,No,
2137797,Moderate,Low,"Evenly scattered	Nuclear	Perinuclear (muscle)",Cytoskeleton (muscle fibres),High,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,
2138092,Moderate,Moderate,"Evenly scattered	Single transcripts",Cell edges,Moderate,High,No,No,No,No,Yes,No,No,Yes,No,No,No,post synaptic density,No,No HRP. Appears like there is no RNA in post-synaptic plasticity but there is a lot of protein.
2138106,Low,Low,Single transcripts,Punctate,None,Low,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,
2137943,High,High,"Nuclear	Perinuclear (muscle)",Nuclear,High,Moderate,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,Protein in muscle cell nuclei.
2137843,Moderate,High,"Single transcripts	Nuclear","Cell edges	Other",High,Low,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Axon terminal,No,Circles of protein filling in the postsynaptic density and overlapping with the HRP signal.
2138114,Low,Low,Single transcripts,Punctate,None,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,
2137832,Low,Low,"Single transcripts	Nuclear",Diffuse,Moderate,Low,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Not sure if protein is there at all. Very diffuse.
2137932,Low,Low,None,Punctate,Moderate,None,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,"RNA channel looks very overcontrasted and I am not sure where the single molecules are, or if there are any at all."
2137851,Low,Low,Single transcripts,Punctate,Moderate,Low,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Random blobs which maybe look like unspecific/contamination?
2138077,Low,Low,Single transcripts,Diffuse,None,Low,No,No,No,No,Yes,Yes,No,No,No,No,muscle,muscle,Yes,NMJ is destroyed here at least partially.
2137867,High,Moderate,Evenly scattered,Punctate,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Punctate of protein and RNA everywhere in the image.
2137916,High,Moderate,"Single transcripts	Nuclear","Diffuse	Cytoskeleton (muscle fibres)",High,Moderate,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,
2137908,Moderate,Moderate,"Evenly scattered	Single transcripts","Punctate	Diffuse",Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Many bright spots of both the RNA and the protein.
2138096,Moderate,Moderate,Nuclear,Cell edges,High,None,Yes,No,No,Yes,Yes,No,No,No,N/A,No,No,Axon terminal,No,
2138088,None,None,None,None,None,None,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Everything is fuzzy, no single RNA molecules, no protein."
2137886,Moderate,High,Single transcripts,Punctate,High,Moderate,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,post synaptic density,No,Punctate like Bruchpilot. No HRP so answers based on guesswork.
2138094,Moderate,Moderate,"Evenly scattered	Nuclear",Nuclear,Moderate,Moderate,Yes,No,No,No,Yes,Yes,Yes,No,N/A,No,No,muscle,No,Nuclear protein.
2138098,Moderate,Moderate,"Evenly scattered	Nuclear",Other,High,Moderate,No,No,Yes,Yes,Yes,Yes,N/A,No,N/A,No,No,Other cells,No,protein in axon terminal and tracheal cells.
2137888,High,Moderate,Evenly scattered,"Diffuse	Cytoskeleton (muscle fibres)",High,High,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,
2137884,Moderate,Low,Single transcripts,"Punctate	Diffuse",None,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,There's a big blob of protein in the middle and I am not sure it is true signal.
2137853,High,High,"Evenly scattered	Perinuclear (muscle)",Cell edges,Moderate,High,Yes,No,No,No,Yes,No,No,Yes,No,No,muscle,post synaptic density,No,Perfect overlap of the Dlg and the protein.
2137953,High,Moderate,"Single transcripts	Nuclear",Nuclear,High,Moderate,No,No,Yes,No,Yes,Yes,N/A,No,N/A,No,No,No,Yes,No dgl staining
2137830,High,Low,Evenly scattered,Nuclear,Low,High,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,muscle,No,The protein appears to be solely in the nucleolus.
2137930,Low,Moderate,"Single transcripts	Nuclear	Perinuclear (muscle)","Diffuse	Cytoskeleton (muscle fibres)",Moderate,Low,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,
2137841,Low,High,"Single transcripts	Nuclear","Cell edges	Other",High,Low,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Axon terminal,Axon terminal,No,"""Circles"" of protein filling in the post-synaptic density."
2137822,Moderate,High,"Single transcripts	Nuclear",Other,High,Moderate,No,No,No,Yes,No,No,No,No,No,No,No,post synaptic density,No,"Again not sure what is signal, went by intuition. Transcription foci very bright, but otherwise not sure."
2138104,Low,None,Single transcripts,None,None,Low,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Extremely diffuse protein and RNA channels. Almost no single molecules can be seen. No dlg.
2137914,Low,None,Other,None,None,Low,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,"Very diffuse RNA signal, no protein signal."
2137918,Moderate,High,"Evenly scattered	Single transcripts",Cell edges,Low,High,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,post synaptic density,No,No HRP - cannot answer questions about axon terminal with confidence.
2137865,Moderate,Low,"Single transcripts	Nuclear",Punctate,Moderate,Low,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,
2137965,High,High,"Evenly scattered	Single transcripts",Other,Low,Moderate,No,No,No,No,Yes,No,Yes,Yes,N/A,No,post synaptic density,post synaptic density,No,
2137927,Moderate,Low,Single transcripts,Punctate,None,Low,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,
2138101,Low,Moderate,Single transcripts,Nuclear,Low,Low,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Nuclear protein.
2137839,Low,None,Nuclear,None,High,None,No,No,No,No,No,No,No,No,No,No,No,No,No,"Almost no RNA, as far as I am concerned, anywhere outside the nucleus."
2137939,Low,Low,Nuclear,Punctate,Low,None,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Barely see any single molecules of RNA in the muscle.
2137844,Moderate,Moderate,Single transcripts,Cell edges,High,Moderate,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Axon terminal,No,
2137935,Low,Low,None,Other,Low,None,No,No,No,No,Yes,Yes,No,No,No,No,No,Other cells,No,No single molecules of RNA visible. Seems like protein is in the trachea which is in the corner of the image.
2137835,Moderate,Low,Single transcripts,Other,Low,Low,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,neuron,No,No protein anywhere in the synapse. Only present in a nerve which is lying on top of the synapse.
2138113,Moderate,Moderate,"Single transcripts	Nuclear",Cell edges,Moderate,Moderate,No,No,No,No,Yes,No,Yes,Yes,No,No,No,post synaptic density,No,
2138070,High,Moderate,"Evenly scattered	Other","Punctate	Cell edges",Moderate,High,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,post synaptic density,No,
2137956,None,Moderate,Single transcripts,Nuclear,High,Low,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,
2137856,High,High,Evenly scattered,Cytoskeleton (muscle fibres),Moderate,High,No,No,No,No,Yes,Yes,Yes,No,Yes,No,muscle,muscle,No,
2137960,Moderate,Low,Nuclear,Diffuse,Moderate,None,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,
2137860,Low,Low,Single transcripts,Other,Low,Low,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Other cells,Yes,"I suspect there is an artifact in this figure, where a piece of something strongly fluorescent in green channel is lying on top of the prep."
2137972,Low,Low,Single transcripts,Other,None,Low,No,No,Yes,Yes,No,No,Yes,Yes,N/A,No,No,No,No,No dlg or HRP visible.
2138083,Low,Low,Nuclear,Punctate,Low,Low,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Very diffuse RNA, not sure what is signal and what isn't."
2137981,Moderate,Moderate,"Evenly scattered	Single transcripts",Cell edges,Low,Moderate,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Other cells,neuron,No,Lots of protein in the neuron which is in the corner of the image.
2137881,Low,Low,Single transcripts,Diffuse,None,Low,No,No,Yes,No,Yes,Yes,Yes,No,N/A,No,No,No,No,
2137893,None,Low,None,Diffuse,None,None,Yes,No,No,No,No,Yes,No,No,No,No,No,muscle,Yes,No RNA visible at all.
2138081,High,High,Evenly scattered,"Cell edges	Other",Moderate,High,No,No,No,No,Yes,No,Yes,Yes,No,No,No,post synaptic density,No,
2137983,Low,Moderate,Single transcripts,Nuclear,Moderate,Low,No,No,Yes,No,Yes,Yes,N/A,No,No,No,No,muscle,No,
2137883,Moderate,Low,Evenly scattered,Diffuse,High,Moderate,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,
2137829,Moderate,High,"Single transcripts	Cell type specific",Cell edges,None,Moderate,No,Yes,No,No,No,No,No,No,Yes,Yes,Other cells,Other cells,No,"This, likely, is a glial protein."
2137954,High,Low,"Single transcripts	Cell type specific",Punctate,Low,Moderate,Yes,No,Yes,No,Yes,No,Yes,No,N/A,No,Other cells,No,No,"RNA seems to be concentrated nearby the initial bit of the synapse, possibly in glia."
2137854,Moderate,Moderate,"Nuclear	Perinuclear (muscle)","Diffuse	Cytoskeleton (muscle fibres)",High,Low,No,No,No,No,Yes,Yes,No,No,No,No,muscle,No,No,
2138072,High,Moderate,Single transcripts,Cytoskeleton (muscle fibres),Low,High,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Axon terminal,No,No, Clearly lots of RNA in axon terminal.
2138111,Low,High,Nuclear,Cell edges,Moderate,None,Yes,No,No,No,No,No,No,Yes,No,No,No,post synaptic density,No,
2137837,High,Low,Evenly scattered,"Diffuse	Cytoskeleton (muscle fibres)",Moderate,Moderate,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Ubiquitous evenly spaced single transcripts and VERY diffuse protein.
2138060,Low,Moderate,Single transcripts,Nuclear,Low,Low,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,"RNA single transcripts everywhere, protein in nuclei only."
2137825,Moderate,None,"Single transcripts	Nuclear",None,High,Moderate,No,No,No,No,Yes,No,No,No,No,No,No,No,No,
2137858,High,Moderate,"Evenly scattered	Single transcripts",Nuclear,Moderate,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,muscle,muscle,Yes,HRP stain missing.
2137958,Low,Moderate,Nuclear,"Diffuse	Cytoskeleton (muscle fibres)",Low,None,No,No,No,No,Yes,Yes,No,No,N/A,No,No,muscle,No,
2137870,Moderate,Moderate,"Single transcripts	Perinuclear (muscle)",Other,Moderate,Moderate,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Other cells,Other cells,No,Seems to be in the neuron and in the glia at the NMJ.
2137970,Moderate,Low,Evenly scattered,Diffuse,Low,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,"No DLG, so guessing that there is RNA in post-synaptic density based on its distribution nearby HRP stain."
2137913,None,High,None,Cell edges,None,None,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,"Protein overlaps perfectly with Dlg. Not a single molecule of RNA which I can see, not even in the nuclei. No HRP visible."
2137962,Moderate,Moderate,Single transcripts,Punctate,None,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,N/A,No,No,No,No,
2137862,High,Moderate,Evenly scattered,"Punctate	Cytoskeleton (muscle fibres)",Moderate,High,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137899,Moderate,Moderate,Nuclear,"Nuclear	Diffuse	Cytoskeleton (muscle fibres)",Moderate,None,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,I see no RNA outside the muscle nuclei.
2137887,Low,Low,Evenly scattered,Cytoskeleton (muscle fibres),None,Low,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,
2138085,Low,Moderate,"Single transcripts	Nuclear",Cell edges,Low,Low,No,No,No,No,Yes,No,Yes,Yes,No,No,No,post synaptic density,No,
2138097,Moderate,Moderate,Evenly scattered,Nuclear,Low,Moderate,Yes,No,No,No,Yes,Yes,Yes,No,N/A,No,No,No,No,Nuclear protein. No HRP signal.
2137866,Moderate,Moderate,Single transcripts,"Cell edges	Other",Moderate,Low,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Other cells,Other cells,No,Might be a glial protein.
2137978,Low,Low,Nuclear,"Nuclear	Other",Low,None,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No HRP signal visible. Protein seems perinuclear.
2137878,High,High,Evenly scattered,Cell edges,Moderate,High,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,post synaptic density,No,Perfect overlap of protein and Dlg.
2137974,High,Moderate,"Evenly scattered	Single transcripts",Other,Moderate,High,Yes,No,Yes,Yes,Yes,No,Yes,No,N/A,No,Other cells,Other cells,No,Seems like protein is in perisynaptic glia.
2137917,Moderate,Moderate,Evenly scattered,Nuclear,Moderate,Moderate,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Protein in muscle nuclei and in axon terminal where HRP is.
2137842,Low,Low,Nuclear,Diffuse,High,Low,No,No,No,No,Yes,Yes,No,No,No,No,No,muscle,No,"Very diffuse protein in the muscle. I can only see one single RNA molecule in the muscle, rest is in the nuclei in transcription foci."
2137942,High,Moderate,"Evenly scattered	Single transcripts",Cytoskeleton (muscle fibres),Low,High,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,
2137821,Low,Moderate,"Nuclear	Perinuclear (muscle)",Nuclear,Moderate,Low,No,No,No,No,Yes,Yes,No,No,No,No,muscle,No,No,Bright nuclei full of that protein.
2137921,High,High,Evenly scattered,Cell edges,Moderate,High,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,post synaptic density,No,
2137833,Low,Low,"Single transcripts	Nuclear","Punctate	Nuclear",High,Moderate,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Protein in big puncta in the nucleus.
2137868,Moderate,Moderate,"Single transcripts	Nuclear","Diffuse	Cytoskeleton (muscle fibres)",Moderate,Low,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,
2137876,Moderate,Moderate,"Single transcripts	Nuclear",Punctate,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"Bright protein punctate everywhere in the muscle, quite ubiquitous."
2137976,Moderate,Moderate,"Evenly scattered	Nuclear",Nuclear,Moderate,Low,No,No,No,No,Yes,Yes,Yes,No,N/A,No,No,muscle,No,
2137763,Moderate,Low,Single transcripts,Diffuse,Low,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,N/A,No,No,No,No,
2137864,Low,Moderate,Nuclear,"Nuclear	Cytoskeleton (muscle fibres)",Moderate,Moderate,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,
2137919,Low,Moderate,"Single transcripts	Nuclear	Cell type specific",Nuclear,High,Low,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,muscle,No,Protein in muscle cell nuclei.
2137819,Low,None,Single transcripts,None,Moderate,Low,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Not sure what is signal and what is not on the figure.
2137831,Moderate,Low,Single transcripts,Diffuse,High,Moderate,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Very very diffuse protein distribution, almost not sure if it is there."
2137852,Moderate,Moderate,Nuclear,"Diffuse	Cytoskeleton (muscle fibres)",High,Moderate,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,
2138009,Low,Low,Single transcripts,Punctate,Moderate,Low,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Not sure what is signal and what is unspecific here.
2138078,Low,Low,"Single transcripts	Nuclear",Punctate,Low,Low,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Nucleolus protein.
2137840,Low,Moderate,Single transcripts,Punctate,High,None,No,No,No,No,No,No,No,No,No,No,No,No,No,RNA only seems to be in transcription foci. Protein is making one giant blob in the middle of the image and there is no more anywhere else.
2137885,Moderate,Moderate,Evenly scattered,Nuclear,Moderate,Moderate,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No HRP visible so cannot accurately answer about nerve.
2138099,High,Moderate,Single transcripts,"Punctate	Nuclear",Moderate,High,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No dlg signal. Nuclear protein.
2138211,Low,Moderate,"Single transcripts	Nuclear",Nuclear,Low,Low,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Nuclear protein.
2138203,Moderate,Low,Evenly scattered,Punctate,None,Low,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Synapse and muscle might be destroyed in this image.
2139921,High,High,Evenly scattered,Cell edges,Moderate,High,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Axon terminal,No,
2138235,High,Low,Evenly scattered,Diffuse,Moderate,High,Yes,No,Yes,No,Yes,No,Yes,No,N/A,No,No,No,No,
2138244,Low,High,Single transcripts,Cell edges,Low,Low,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,post synaptic density,No,Dlg stain seems to have failed. Protein seems to have the exact pattern dlg would have.
2138227,Moderate,High,"Single transcripts	Cell type specific","Cell edges	Other",Moderate,Moderate,No,No,No,No,Yes,No,Yes,Yes,N/A,No,No,post synaptic density,No,No dlg signal but protein looks exactly like dlg would.
2138155,Moderate,High,Single transcripts,Cell edges,Moderate,Moderate,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Other cells,No,"Protein is around the axon terminal but not everywhere where HRP is, and everywhere in the nerve, so probably glial."
2138163,Low,High,None,Cell edges,Low,None,No,No,No,Yes,No,No,No,No,N/A,No,No,Axon terminal,No,"RNA signal is literally a haze, I don't see any single molecules. The only bright spot seems to be random and a bit too big to be a single molecule. Protein seems to be neuron specific."
2138145,Moderate,High,Single transcripts,Cell edges,Moderate,Low,No,No,No,No,Yes,No,Yes,Yes,No,No,No,post synaptic density,No,"Green and Red channels seem shifted one versus another where they should be overlapping, and there is a massive black artefact in the bottom of the image."
2138201,Moderate,Low,Evenly scattered,Diffuse,None,Moderate,No,No,Yes,No,Yes,No,Yes,No,N/A,No,No,No,No,
2138213,Low,Low,"Single transcripts	Nuclear",Diffuse,Moderate,Low,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Protein and RNA signal super diffuse.
2138270,Moderate,Moderate,"Single transcripts	Perinuclear (muscle)","Nuclear	Other",Moderate,Low,No,No,Yes,No,Yes,Yes,Yes,No,N/A,No,No,muscle,No,Protein is nuclear. HRP pale.
2138225,High,High,Evenly scattered,"Cell edges	Cytoskeleton (muscle fibres)",Low,High,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,post synaptic density,Yes,"No dlg signal, but protein looks exactly like dlg would look."
2138237,Low,Low,Single transcripts,Diffuse,None,Low,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"No dlg, RNA signal very diffuse protein and RNA. There is an artefact in the protein channel which I don't see in the overlay image. I only see one single molecule of RNA."
2138118,Low,Low,"Single transcripts	Nuclear",Nuclear,Moderate,Low,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Nuclear protein. No HRP signal so cannot tell if the RNA is in the axon terminal or the postsynaptic density.
2138169,Moderate,High,Cell type specific,Cell edges,None,Moderate,Yes,No,Yes,No,Yes,No,Yes,Yes,N/A,No,Axon terminal,post synaptic density,No,"The entire RNA signal looks very bright and it is probably not single molecules, not sure if real. Protein aligns perfectly with DLG."
2138122,Moderate,Moderate,"Evenly scattered	Single transcripts",Punctate,Low,Moderate,No,No,Yes,No,Yes,No,Yes,Yes,No,No,post synaptic density,post synaptic density,No,"Not sure if protein, and therefore RNA, pre- or posysynaptic"
2138233,Low,High,Evenly scattered,Cell edges,Low,Low,No,No,No,No,Yes,No,Yes,Yes,N/A,No,No,post synaptic density,No,Figure same as Ptp69D.
2138196,Low,None,Single transcripts,None,Low,Low,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Figure quality might be too poor.
2138221,Moderate,High,Evenly scattered,"Punctate	Cell edges",Low,Moderate,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Axon terminal,No,
2138242,Low,Low,Single transcripts,"Punctate	Cell edges",None,Low,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,RNA and protein extremely diffuse. No dlg signal.
2138217,Moderate,Low,"Evenly scattered	Nuclear",Diffuse,Moderate,Moderate,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,
