figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in Kenyon cell somata?,Is protein present in Kenyon cell somata?,Is RNA present in MB lobes?,Is protein present in MB lobes?,Is RNA present in MB calyx?,Is protein present in MB calyx?,Is figure quality too poor?,General comments,,soma_RNAnoProtein,soma_ProteinnoRNA,lobes_RNAnoProtein,lobesproteinNoRNA,calyxRNAnoProtein,calyxProteinNoRNA,figure_id
2138043,Moderate,Moderate,Evenly distributed,Diffuse,High,Moderate,Yes,No,Yes,No,Yes,Yes,No,Yes,No,,,0,0,1,0,0,0,2138879
2138397,Low,Low,Single transcripts,"Diffuse	Cytoplasmic",None,None,Yes,No,No,No,No,Yes,No,No,No,,,0,0,1,0,0,0,2137759
2138864,Moderate,Moderate,Evenly distributed,"Diffuse	Large aggregations",Low,Moderate,Yes,No,Yes,Yes,No,Yes,No,Yes,No,RNA needs recontrasting,,0,0,1,0,0,0,2138473
2138919,Low,Moderate,Single transcripts,"Diffuse	Cytoplasmic",Low,Low,No,No,Yes,Yes,No,No,No,No,No,,,0,1,0,0,0,0,2137778
2138845,None,Low,,Diffuse,None,None,Yes,No,No,Yes,No,No,No,Yes,Yes,Not contrasted well,,0,1,0,0,0,0,2138909
2138750,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,Autofluorescence in cell bodies image makes it impossible to score. Needs to be reimaged?,,0,1,0,0,0,0,2137977
2138838,High,High,Evenly distributed,Large aggregations,Low,High,Yes,No,Yes,Yes,No,Yes,No,Yes,No,RNA needs to be recontrasted,,0,1,0,0,0,0,2138799
2138633,None,Low,Single transcripts,Large aggregations,None,Low,Yes,No,Yes,No,No,No,No,Yes,Yes,Lobe image isn't great,,0,1,0,0,0,0,2138758
2138826,High,High,More in some cells than others,Cytoplasmic,Low,High,No,No,No,No,Yes,No,No,No,No,,,1,0,0,0,0,0,2138464
2138926,High,Low,More in some cells than others,"Punctate	Cell edges",High,High,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,1,0,0,0,0,0,2138669
2138857,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,1,0,0,0,0,0,2138599
2138849,None,Low,,Other,None,None,Yes,No,No,No,No,No,Yes,No,Yes,Needs to be recontrasted. Protein at edge of calyx?,,1,0,0,0,0,0,2138337
2138496,Moderate,High,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,No,No,No,Yes,Lobe image is not quite good enough,,1,0,0,0,0,0,2137986
2138025,Moderate,Moderate,More in some cells than others,"Punctate	Large aggregations",Low,Moderate,No,No,Yes,No,No,Yes,No,No,No,,,1,0,0,0,0,0,2138554
2138392,Low,Moderate,More in some cells than others,Punctate,Low,Low,No,No,Yes,Yes,No,No,No,No,No,,,1,0,0,0,0,0,2138682
2137803,Low,Low,Single transcripts,Punctate,None,Low,No,No,Yes,No,No,No,No,No,No,,,1,0,0,0,0,0,2138624
2137911,None,None,,,None,None,No,No,No,No,No,No,No,No,No,,,1,0,0,0,0,0,2138736
2138910,High,High,Evenly distributed,Large aggregations,Low,High,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Protein channel is saturated,,1,0,0,0,0,0,2138840
2138506,High,High,Evenly distributed,"Diffuse	Cytoplasmic",High,High,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,,,1,0,0,0,0,0,2137803
2139875,High,High,Evenly distributed,Cytoplasmic,Low,High,No,No,Yes,Yes,No,No,No,No,No,,,1,0,0,0,0,0,2139879
2138326,Moderate,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Low,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,,,1,0,0,0,0,0,2138892
2139879,High,None,More in some cells than others,,Low,High,Yes,No,Yes,No,No,No,No,No,No,,,1,0,0,0,0,0,2138693
2138338,Low,Low,Evenly distributed,"Diffuse	Cytoplasmic",Low,Moderate,No,No,Yes,Yes,No,No,No,No,No,,,1,0,0,0,0,0,2138894
2138345,High,High,Evenly distributed,"Cell edges	Diffuse	Other",Moderate,High,No,No,Yes,Yes,No,Yes,No,Yes,No,Not sure if protein is at the edge of the calyx and lobes or not,,1,0,0,0,0,0,2138571
2137794,Low,Moderate,More in some cells than others,"Cytoplasmic	Cell type specific",Low,Moderate,No,No,No,No,No,No,No,No,No,,,1,0,0,0,0,0,2138772
2138795,Moderate,None,Evenly distributed,,Low,Moderate,Yes,No,Yes,No,Yes,No,Yes,No,No,,,1,0,0,0,0,0,2137761
2138799,Low,Low,Single transcripts,Punctate,None,Low,No,No,No,Yes,No,No,No,No,No,Super low expression,,1,0,0,0,0,0,2138052
2138892,Moderate,None,Evenly distributed,,None,None,Yes,No,Yes,No,No,No,No,No,No,,,1,0,0,0,0,0,2137809
2138516,Moderate,Moderate,"Evenly distributed	Single transcripts",Diffuse,Moderate,Moderate,No,No,Yes,Yes,No,No,Yes,Yes,No,,,1,0,0,0,0,0,2138644
2138259,Moderate,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,RNA could be contrasted better. ,,1,0,0,0,0,0,2137923
2138408,High,Moderate,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,Yes,No,Yes,No,No,,,1,0,0,0,0,0,2137985
2138579,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed,,1,0,0,0,0,0,2138426
2138255,Moderate,Moderate,More in some cells than others,"Cell edges	Cytoplasmic",Low,Moderate,No,No,Yes,Yes,No,No,No,No,No,,,0,0,0,0,0,0,2138893
2138363,Low,High,Single transcripts,"Punctate	Cell edges	Diffuse",None,Low,Yes,No,Yes,Yes,No,Yes,No,Yes,No,I think there may only be one transcript (in cell bodies image close to 3'oclock),,0,0,0,0,0,0,2138452
2137891,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Not expressed?,,0,0,0,0,0,0,2138519
2137788,High,Moderate,Evenly distributed,Large aggregations,Moderate,High,Yes,No,No,No,No,Yes,No,No,No,,,0,0,0,0,0,0,2138616
2138797,High,Moderate,Evenly distributed,"Punctate	Diffuse",Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,0,0,0,0,0,0,2137774
2138420,Low,Low,More in some cells than others,"Punctate	Large aggregations",Low,Low,No,No,Yes,Yes,Yes,No,No,Yes,No,,,0,0,0,0,0,0,2138393
2138443,High,Moderate,Evenly distributed,"Punctate	Diffuse",High,High,No,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138128
2138936,None,High,,"Diffuse	Large aggregations",None,None,Yes,Yes,No,No,No,Yes,No,Yes,No,"High protein in lobes and calyx, no RNA to be seen. Is this FasII?",,0,0,0,0,0,0,2138036
2138836,High,None,Evenly distributed,,Low,High,Yes,No,Yes,No,Yes,No,Yes,No,No,RNA could be contrasted to be more prominent,,0,0,0,0,0,0,2137812
2138594,High,None,More in some cells than others,,High,High,Yes,No,Yes,No,Yes,No,Yes,No,No,,,0,0,0,0,0,0,2138765
2138631,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,"I don't think these are in the right place, looks like the anlagen ",,0,0,0,0,0,0,2138057
2138731,High,High,Evenly distributed,"Diffuse	Cytoplasmic",Low,High,No,No,Yes,Yes,No,No,Yes,No,No,,,0,0,0,0,0,0,2138706
2138103,High,Moderate,Evenly distributed,Diffuse,Moderate,High,No,No,Yes,Yes,Yes,Yes,No,Yes,No,,,0,0,0,0,0,0,2138677
2139896,High,Moderate,Evenly distributed,Diffuse,High,High,Yes,No,Yes,No,Yes,Yes,No,Yes,No,,,0,0,0,0,0,0,2138829
2137765,Moderate,Low,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,No,No,No,No,No,No,No,,,0,0,0,0,0,0,2138837
2138135,High,Moderate,Evenly distributed,Diffuse,Low,High,Yes,No,No,Yes,No,Yes,No,Yes,No,"Cell bodies image isn't brilliant",,0,0,0,0,0,0,2138313
2138048,High,Moderate,Evenly distributed,"Cell edges	Cytoplasmic",Low,High,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Cell bodies image is poor,,0,0,0,0,0,0,2138521
2138800,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,No,No,No,No,,,0,0,0,0,0,0,2138566
2138863,Moderate,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,No,No,No,No,No,,,0,0,0,0,0,0,2138491
2138275,Low,None,Single transcripts,,Low,Low,No,No,No,No,Yes,No,No,No,No,Cell bodies image is pretty crappy. Just low signal/expression?,,0,0,0,0,0,0,2137979
2138424,High,High,Evenly distributed,"Punctate	Cell edges	Diffuse",Moderate,High,No,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138878
2138693,Moderate,Low,Evenly distributed,Diffuse,Low,Moderate,No,No,Yes,No,No,No,No,No,No,,,0,0,0,0,0,0,2138387
2138308,Moderate,Moderate,Evenly distributed,Punctate,High,Moderate,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,0,0,0,0,0,0,2138917
2138316,Moderate,Moderate,More in some cells than others,"Diffuse	Cytoplasmic",Low,Moderate,No,No,Yes,No,No,No,No,Yes,No,,,0,0,0,0,0,0,2137875
2138894,Low,None,Single transcripts,,Low,Low,No,No,Yes,No,No,No,No,No,No,,,0,0,0,0,0,0,2138558
2137895,None,High,,"Cell edges	Large aggregations	Cytoplasmic",None,None,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Contrasting on the protein is not good. Is RNA signal real?,,0,0,0,0,0,0,2137994
2138400,Moderate,Moderate,More in some cells than others,"Punctate	Large aggregations",Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,No,No,,,0,0,0,0,0,0,2138680
2138571,High,Low,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,High,No,Yes,Yes,No,No,No,No,No,No,,,0,0,0,0,0,0,2138437
2138140,High,High,More in some cells than others,Cytoplasmic,High,High,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Very large RNA aggregation - Multiple transcription foci or a large aggregation?,,0,0,0,0,0,0,2138895
2138879,High,High,Evenly distributed,"Cell edges	Large aggregations",Low,High,No,No,Yes,Yes,Yes,No,Yes,Yes,No,,,0,0,0,0,0,0,2138264
2138772,High,Low,Evenly distributed,"Punctate	Diffuse",Moderate,High,Yes,No,Yes,No,Yes,Yes,No,No,No,,,0,0,0,0,0,0,2138535
2137761,Low,None,Single transcripts,,None,Low,Yes,No,Yes,No,No,No,No,No,No,,,0,0,0,0,0,0,2137996
2138052,High,Moderate,Evenly distributed,"Punctate	Diffuse	Cytoplasmic",Moderate,High,No,No,Yes,No,No,No,No,No,No,,,0,0,0,0,0,0,2138376
2137809,High,None,Evenly distributed,,High,High,Yes,No,Yes,No,No,No,No,No,No,,,0,0,0,0,0,0,2138724
2138908,Low,Low,Evenly distributed,Punctate,Low,Low,Yes,No,No,No,No,No,No,No,No,,,0,0,0,0,0,0,2139883
2138875,Low,Low,Single transcripts,"Punctate	Diffuse",Low,Low,No,No,Yes,Yes,No,No,No,Yes,No,Labels in Lobe composite are outside the image,,0,0,0,0,0,0,2138815
2138660,None,None,,,None,None,No,No,No,No,No,No,No,No,No,,,0,0,0,0,0,0,2138919
2138031,High,Moderate,Evenly distributed,Diffuse,Moderate,High,No,No,Yes,Yes,Yes,Yes,No,Yes,No,,,0,0,0,0,0,0,2138750
2138648,High,High,Evenly distributed,"Punctate	Diffuse",Low,High,No,No,Yes,Yes,No,Yes,No,No,No,,,0,0,0,0,0,0,2138857
2138756,High,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,High,No,No,Yes,Yes,Yes,No,Yes,No,No,,,0,0,0,0,0,0,2138496
